Model,Noise Type_p_ε,Circuit,RA(%),VT(s),RA(%),VT(s)
mnist26,bit-flip_0.025_0.003,c_1,100.00,0.1150,100.00,0.1151
mnist26,bit-flip_0.025_0.003,c_2,100.00,0.1049,100.00,0.1049
mnist27,depolarizing_0.05_0.01,c_0,98.60,0.0473,99.60,3.5452
mnist27,depolarizing_0.05_0.01,c_1,100.00,1.2886,100.00,1.2886
mnist27,depolarizing_0.05_0.01,c_2,100.00,1.2688,100.00,1.2688
mnist28,mixed_0.05_0.005,c_0,62.50,0.0421,94.80,78.0964
mnist28,mixed_0.05_0.005,c_1,100.00,0.1080,100.00,0.1080
mnist28,mixed_0.05_0.005,c_2,100.00,0.1018,100.00,0.1018
mnist29,bit-flip_0.025_0.0001,c_0,100.00,0.0423,100.00,0.0423
mnist29,bit-flip_0.025_0.0001,c_1,100.00,0.2162,100.00,0.2162
mnist29,bit-flip_0.025_0.0001,c_2,100.00,0.2082,100.00,0.2082
mnist34,mixed_0.001_0.0001,c_0,100.00,0.0361,100.00,0.0361
mnist34,mixed_0.001_0.0001,c_1,100.00,0.6008,100.00,0.6008
mnist34,mixed_0.001_0.0001,c_2,100.00,0.5878,100.00,0.5878
mnist35,phase-flip_0.05_0.005,c_0,99.70,0.0352,100.00,0.4421
mnist35,phase-flip_0.05_0.005,c_1,100.00,0.0305,100.00,0.0305
mnist35,phase-flip_0.05_0.005,c_2,100.00,0.0314,100.00,0.0314
mnist36,phase-flip_0.0005_0.001,c_0,100.00,0.0509,100.00,0.0510
mnist36,phase-flip_0.0005_0.001,c_1,100.00,4.4807,100.00,4.4808
mnist36,phase-flip_0.0005_0.001,c_2,100.00,4.4708,100.00,4.4709
mnist37,bit-flip_0.0001_0.001,c_0,100.00,0.0387,100.00,0.0387
mnist37,bit-flip_0.0001_0.001,c_1,100.00,0.0349,100.00,0.0350
mnist37,bit-flip_0.0001_0.001,c_2,100.00,0.0349,100.00,0.0349
mnist38,depolarizing_0.0005_0.005,c_0,97.70,0.0435,99.10,6.1235
mnist38,depolarizing_0.0005_0.005,c_1,100.00,0.1736,100.00,0.1736
mnist38,depolarizing_0.0005_0.005,c_2,100.00,0.1765,100.00,0.1766
mnist39,depolarizing_0.05_0.0005,c_0,100.00,0.0455,100.00,0.0455
mnist39,depolarizing_0.05_0.0005,c_1,100.00,0.3629,100.00,0.3629
mnist39,depolarizing_0.05_0.0005,c_2,100.00,0.3490,100.00,0.3491
mnist45,mixed_0.001_0.0003,c_0,100.00,0.0444,100.00,0.0444
mnist45,mixed_0.001_0.0003,c_1,100.00,0.1910,100.00,0.1910
mnist45,mixed_0.001_0.0003,c_2,100.00,0.1961,100.00,0.1962
mnist46,mixed_0.0005_0.005,c_0,99.90,0.0579,99.90,0.4308
mnist46,mixed_0.0005_0.005,c_1,100.00,0.1740,100.00,0.1740
mnist46,mixed_0.0005_0.005,c_2,100.00,0.1932,100.00,0.1932
mnist47,bit-flip_0.01_0.0003,c_0,100.00,0.0393,100.00,0.0393
mnist47,bit-flip_0.01_0.0003,c_1,100.00,0.0361,100.00,0.0361
mnist47,bit-flip_0.01_0.0003,c_2,100.00,0.0358,100.00,0.0359
mnist48,mixed_0.005_0.003,c_0,83.30,0.0381,89.40,53.7306
mnist48,mixed_0.005_0.003,c_1,100.00,0.1829,100.00,0.1829
mnist48,mixed_0.005_0.003,c_2,100.00,0.1969,100.00,0.1970
mnist49,mixed_0.001_0.0001,c_0,97.20,0.0559,97.70,10.1595
